,id,type,geometry.type,geometry.coordinates,properties.@id,properties.@type,properties.elevation.unitCode,properties.elevation.value,properties.station,properties.timestamp,properties.rawMessage,properties.textDescription,properties.icon,properties.presentWeather,properties.temperature.unitCode,properties.temperature.value,properties.temperature.qualityControl,properties.dewpoint.unitCode,properties.dewpoint.value,properties.dewpoint.qualityControl,properties.windDirection.unitCode,properties.windDirection.value,properties.windDirection.qualityControl,properties.windSpeed.unitCode,properties.windSpeed.value,properties.windSpeed.qualityControl,properties.windGust.unitCode,properties.windGust.value,properties.windGust.qualityControl,properties.barometricPressure.unitCode,properties.barometricPressure.value,properties.barometricPressure.qualityControl,properties.seaLevelPressure.unitCode,properties.seaLevelPressure.value,properties.seaLevelPressure.qualityControl,properties.visibility.unitCode,properties.visibility.value,properties.visibility.qualityControl,properties.maxTemperatureLast24Hours.unitCode,properties.maxTemperatureLast24Hours.value,properties.minTemperatureLast24Hours.unitCode,properties.minTemperatureLast24Hours.value,properties.precipitationLast3Hours.unitCode,properties.precipitationLast3Hours.value,properties.precipitationLast3Hours.qualityControl,properties.relativeHumidity.unitCode,properties.relativeHumidity.value,properties.relativeHumidity.qualityControl,properties.windChill.unitCode,properties.windChill.value,properties.windChill.qualityControl,properties.heatIndex.unitCode,properties.heatIndex.value,properties.heatIndex.qualityControl,properties.cloudLayers
0,https://api.weather.gov/stations/SNI/observations/2022-03-15T02:00:00+00:00,Feature,Point,"[-111.86, 41.2]",https://api.weather.gov/stations/SNI/observations/2022-03-15T02:00:00+00:00,wx:ObservationStation,wmoUnit:m,2256.1,https://api.weather.gov/stations/SNI,2022-03-15T02:00:00+00:00,,,,[],wmoUnit:degC,-0.01,V,wmoUnit:degC,-5.86,V,wmoUnit:degree_(angle),,Z,wmoUnit:km_h-1,0.0,V,wmoUnit:km_h-1,0.0,S,wmoUnit:Pa,,Z,wmoUnit:Pa,,Z,wmoUnit:m,,Z,wmoUnit:degC,,wmoUnit:degC,,wmoUnit:m,,Z,wmoUnit:percent,64.743609147357,V,wmoUnit:degC,,V,wmoUnit:degC,,V,[]
1,https://api.weather.gov/stations/SNI/observations/2022-03-15T14:00:00+00:00,Feature,Point,"[-111.86, 41.2]",https://api.weather.gov/stations/SNI/observations/2022-03-15T14:00:00+00:00,wx:ObservationStation,wmoUnit:m,2256.1,https://api.weather.gov/stations/SNI,2022-03-15T14:00:00+00:00,,,,[],wmoUnit:degC,1.75,V,wmoUnit:degC,-8.54,V,wmoUnit:degree_(angle),,Z,wmoUnit:km_h-1,0.0,V,wmoUnit:km_h-1,0.0,S,wmoUnit:Pa,,Z,wmoUnit:Pa,,Z,wmoUnit:m,,Z,wmoUnit:degC,,wmoUnit:degC,,wmoUnit:m,,Z,wmoUnit:percent,46.400194752155,V,wmoUnit:degC,,V,wmoUnit:degC,,V,[]
2,https://api.weather.gov/stations/SNI/observations/2022-03-14T13:00:00+00:00,Feature,Point,"[-111.86, 41.2]",https://api.weather.gov/stations/SNI/observations/2022-03-14T13:00:00+00:00,wx:ObservationStation,wmoUnit:m,2256.1,https://api.weather.gov/stations/SNI,2022-03-14T13:00:00+00:00,,,,[],wmoUnit:degC,-6.51,V,wmoUnit:degC,-7.8,V,wmoUnit:degree_(angle),,Z,wmoUnit:km_h-1,0.0,V,wmoUnit:km_h-1,0.0,S,wmoUnit:Pa,,Z,wmoUnit:Pa,,Z,wmoUnit:m,,Z,wmoUnit:degC,,wmoUnit:degC,,wmoUnit:m,,Z,wmoUnit:percent,90.546068590021,V,wmoUnit:degC,,V,wmoUnit:degC,,V,[]
3,https://api.weather.gov/stations/SNI/observations/2022-03-12T13:00:00+00:00,Feature,Point,"[-111.86, 41.2]",https://api.weather.gov/stations/SNI/observations/2022-03-12T13:00:00+00:00,wx:ObservationStation,wmoUnit:m,2256.1,https://api.weather.gov/stations/SNI,2022-03-12T13:00:00+00:00,,,,[],wmoUnit:degC,-2.89,V,wmoUnit:degC,-7.49,V,wmoUnit:degree_(angle),,Z,wmoUnit:km_h-1,0.0,V,wmoUnit:km_h-1,,Z,wmoUnit:Pa,,Z,wmoUnit:Pa,,Z,wmoUnit:m,,Z,wmoUnit:degC,,wmoUnit:degC,,wmoUnit:m,,Z,wmoUnit:percent,70.586129666204,V,wmoUnit:degC,,V,wmoUnit:degC,,V,[]
4,https://api.weather.gov/stations/SNI/observations/2022-03-11T16:00:00+00:00,Feature,Point,"[-111.86, 41.2]",https://api.weather.gov/stations/SNI/observations/2022-03-11T16:00:00+00:00,wx:ObservationStation,wmoUnit:m,2256.1,https://api.weather.gov/stations/SNI,2022-03-11T16:00:00+00:00,,,,[],wmoUnit:degC,-10.3,V,wmoUnit:degC,-14.55,V,wmoUnit:degree_(angle),,Z,wmoUnit:km_h-1,0.0,V,wmoUnit:km_h-1,0.0,S,wmoUnit:Pa,,Z,wmoUnit:Pa,,Z,wmoUnit:m,,Z,wmoUnit:degC,,wmoUnit:degC,,wmoUnit:m,,Z,wmoUnit:percent,71.01067619376,V,wmoUnit:degC,,V,wmoUnit:degC,,V,[]
5,https://api.weather.gov/stations/SNI/observations/2022-03-15T10:00:00+00:00,Feature,Point,"[-111.86, 41.2]",https://api.weather.gov/stations/SNI/observations/2022-03-15T10:00:00+00:00,wx:ObservationStation,wmoUnit:m,2256.1,https://api.weather.gov/stations/SNI,2022-03-15T10:00:00+00:00,,,,[],wmoUnit:degC,0.66,V,wmoUnit:degC,-6.23,V,wmoUnit:degree_(angle),,Z,wmoUnit:km_h-1,0.0,V,wmoUnit:km_h-1,0.0,S,wmoUnit:Pa,,Z,wmoUnit:Pa,,Z,wmoUnit:m,,Z,wmoUnit:degC,,wmoUnit:degC,,wmoUnit:m,,Z,wmoUnit:percent,59.964854373274,V,wmoUnit:degC,,V,wmoUnit:degC,,V,[]
6,https://api.weather.gov/stations/SNI/observations/2022-03-13T07:00:00+00:00,Feature,Point,"[-111.86, 41.2]",https://api.weather.gov/stations/SNI/observations/2022-03-13T07:00:00+00:00,wx:ObservationStation,wmoUnit:m,2256.1,https://api.weather.gov/stations/SNI,2022-03-13T07:00:00+00:00,,,,[],wmoUnit:degC,3.01,V,wmoUnit:degC,-4.18,V,wmoUnit:degree_(angle),,Z,wmoUnit:km_h-1,0.0,V,wmoUnit:km_h-1,0.0,S,wmoUnit:Pa,,Z,wmoUnit:Pa,,Z,wmoUnit:m,,Z,wmoUnit:degC,,wmoUnit:degC,,wmoUnit:m,,Z,wmoUnit:percent,59.212028838656,V,wmoUnit:degC,,V,wmoUnit:degC,,V,[]
7,https://api.weather.gov/stations/SNI/observations/2022-03-11T05:00:00+00:00,Feature,Point,"[-111.86, 41.2]",https://api.weather.gov/stations/SNI/observations/2022-03-11T05:00:00+00:00,wx:ObservationStation,wmoUnit:m,2256.1,https://api.weather.gov/stations/SNI,2022-03-11T05:00:00+00:00,,,,[],wmoUnit:degC,,Z,wmoUnit:degC,,Z,wmoUnit:degree_(angle),,Z,wmoUnit:km_h-1,,Z,wmoUnit:km_h-1,0.0,S,wmoUnit:Pa,,Z,wmoUnit:Pa,,Z,wmoUnit:m,,Z,wmoUnit:degC,,wmoUnit:degC,,wmoUnit:m,,Z,wmoUnit:percent,,Z,wmoUnit:degC,,Z,wmoUnit:degC,,Z,[]
8,https://api.weather.gov/stations/SNI/observations/2022-03-13T12:00:00+00:00,Feature,Point,"[-111.86, 41.2]",https://api.weather.gov/stations/SNI/observations/2022-03-13T12:00:00+00:00,wx:ObservationStation,wmoUnit:m,2256.1,https://api.weather.gov/stations/SNI,2022-03-13T12:00:00+00:00,,,,[],wmoUnit:degC,3.32,V,wmoUnit:degC,-3.95,V,wmoUnit:degree_(angle),,Z,wmoUnit:km_h-1,0.0,V,wmoUnit:km_h-1,0.0,S,wmoUnit:Pa,,Z,wmoUnit:Pa,,Z,wmoUnit:m,,Z,wmoUnit:degC,,wmoUnit:degC,,wmoUnit:m,,Z,wmoUnit:percent,58.93703845254,V,wmoUnit:degC,,V,wmoUnit:degC,,V,[]
9,https://api.weather.gov/stations/SNI/observations/2022-03-12T01:00:00+00:00,Feature,Point,"[-111.86, 41.2]",https://api.weather.gov/stations/SNI/observations/2022-03-12T01:00:00+00:00,wx:ObservationStation,wmoUnit:m,2256.1,https://api.weather.gov/stations/SNI,2022-03-12T01:00:00+00:00,,,,[],wmoUnit:degC,-5.44,V,wmoUnit:degC,-11.26,V,wmoUnit:degree_(angle),,Z,wmoUnit:km_h-1,0.0,V,wmoUnit:km_h-1,0.0,S,wmoUnit:Pa,,Z,wmoUnit:Pa,,Z,wmoUnit:m,,Z,wmoUnit:degC,,wmoUnit:degC,,wmoUnit:m,,Z,wmoUnit:percent,63.591088116435,V,wmoUnit:degC,,V,wmoUnit:degC,,V,[]
